Team, Premier League median, Premier League average, Championship median, Championship average, League One median, League One average, League Two median, League Two average
Average attendance
Brentford FC,16550.5,16550.5,10283.5,10207.67,5759,5977.77,5088.0,5088.0
Brighton & Hove Albion,30426,29125.2,25583,19183.33,6248,6392.14,6168.0,6168.0
Leeds United,38974,37796.57,25092,25952.38,24818,25001.0,,
Leicester City,31638.0,28257.08,23587.5,24001.3,20340,20340.0,,
Nottingham Forest,29131,29131.0,23082,22871.0,20257,20276.67,,
Southampton FC,30621.5,27924.69,23560,22539.4,21571.5,21571.5,,
Wolverhampton Wanderers,28031.0,28166.0,22959.0,23099.64,20879,20879.0,,
Blackburn Rovers,23944,23834.64,14550,14963.0,12832,12832.0,,
Blackpool FC,15780,15780.0,11023,11078.56,6032,6191.82,3956.5,3956.5
Huddersfield Town,23691.0,23691.0,14595.5,15526.1,12483.5,12087.8,10785,10785.0
Hull City,24117,23507.2,17284.0,16533.5,18027,18027.0,9506,10323.2
Norwich City,26805,26466.29,24545,23011.2,24671,24671.0,,
Queens Park Rangers,17779,17627.67,13959,14062.59,13206,13246.67,,
Wigan Athletic,18492.0,18621.12,11852.5,11653.38,7288,7915.0,,
Bolton Wanderers,23670,24000.91,15650.0,15611.25,15316.5,15115.5,,
Charlton Athletic,26196,25126.57,17603.5,18183.5,14364.5,14245.62,,
Derby County,29583.5,30037.5,25982.5,25998.56,27022,27022.0,,
Ipswich Town,23465.0,23465.0,19609.0,20366.56,21779,22397.33,,
Portsmouth FC,19862,19696.86,15057.0,15366.0,17860.5,16555.33,15924.5,15978.5
Total,25312,25701.61,19609.0,19326.29,11336.5,12212.64,8095.0,9796.25
Average attendance / capacity %
Brentford FC,95.94,95.94,83.6,82.99,46.82,48.6,41.36,41.36
Brighton & Hove Albion,98.16,78.25,83.4,83.59,70.6,72.23,69.69,69.69
Leeds United,97.07,95.62,66.22,67.3,61.67,62.13,,
Leicester City,97.97,94.71,73.0,74.28,62.95,62.95,,
Nottingham Forest,95.68,95.68,76.12,75.77,66.25,66.32,,
Southampton FC,94.69,92.83,72.75,69.6,66.61,66.61,,
Wolverhampton Wanderers,95.84,92.78,77.76,77.48,65.86,65.86,,
Blackburn Rovers,76.34,76.03,46.39,47.7,40.91,40.91,,
Blackpool FC,97.29,97.29,76.2,73.86,60.51,55.14,38.17,38.17
Huddersfield Town,96.7,96.7,59.57,63.37,50.95,49.34,44.02,44.02
Hull City,94.95,92.54,68.03,65.08,70.96,70.96,37.42,41.38
Norwich City,98.39,97.91,94.32,90.08,94.82,94.82,,
Queens Park Rangers,96.42,96.39,75.7,76.54,71.62,71.84,,
Wigan Athletic,73.57,74.08,47.16,46.36,28.99,31.49,,
Bolton Wanderers,82.41,83.56,54.48,54.35,53.33,52.63,,
Charlton Athletic,96.62,92.68,64.93,67.07,52.98,52.54,,
Derby County,88.06,89.41,77.34,77.38,80.42,80.42,,
Ipswich Town,77.44,77.44,66.28,67.57,71.85,73.89,,
Portsmouth FC,98.12,96.8,73.63,75.42,85.63,80.87,76.97,76.84
Total,94.56,89.21,72.68,71.3,58.72,57.51,53.14,53.55
Inflation adjusted arrivals M€
Brentford FC,45.56,45.56,8.08,13.28,0.05,0.31,0.43,0.43
Brighton & Hove Albion,73.18,68.94,2.74,4.98,0.49,0.56,0.32,0.32
Leeds United,69.2,72.41,6.24,8.01,0.7,1.56,,
Leicester City,60.13,60.95,3.06,5.95,1.64,1.64,,
Nottingham Forest,184.25,184.25,7.79,8.18,1.33,2.84,,
Southampton FC,48.59,53.19,5.84,6.14,4.21,4.21,,
Wolverhampton Wanderers,27.4,30.98,5.86,7.76,2.25,2.25,,
Blackburn Rovers,16.33,20.89,3.23,7.33,2.0,2.0,,
Blackpool FC,7.66,7.66,0.71,1.1,0.03,0.19,0.03,0.03
Huddersfield Town,61.83,61.83,1.52,3.31,0.15,0.82,0.27,0.27
Hull City,38.16,38.03,5.36,7.57,1.29,1.29,0.27,0.56
Norwich City,19.63,31.85,4.94,8.94,1.93,1.93,,
Queens Park Rangers,52.68,49.88,2.04,5.52,0.6,0.44,,
Wigan Athletic,24.61,24.59,6.04,6.39,1.6,2.86,,
Bolton Wanderers,9.41,13.83,0.19,1.64,0.2,0.24,0.0,0.0
Charlton Athletic,20.52,19.35,3.19,5.11,0.54,0.61,,
Derby County,24.55,22.33,4.42,7.79,0.0,0.0,,
Ipswich Town,24.22,24.22,2.35,3.67,1.63,1.68,,
Portsmouth FC,18.51,30.86,7.95,6.87,0.13,0.47,0.0,0.0
Total,31.14,40.37,4.09,6.42,0.51,0.99,0.08,0.27
Inflation adjusted squad value M€
Brentford FC,300.1,300.1,55.77,74.32,9.46,8.92,5.25,5.25
Brighton & Hove Albion,266.51,265.17,36.73,33.71,11.55,13.13,,
Leeds United,295.0,293.93,48.64,62.9,31.32,30.52,,
Leicester City,455.1,381.55,44.85,47.33,26.91,26.91,,
Nottingham Forest,332.65,332.65,57.36,60.89,14.33,15.16,,
Southampton FC,283.96,263.9,62.8,62.69,24.66,24.66,,
Wolverhampton Wanderers,351.2,287.92,64.15,69.52,33.11,33.11,,
Blackburn Rovers,119.6,117.25,53.19,58.61,17.45,17.45,,
Blackpool FC,66.91,66.91,35.44,32.09,6.6,8.28,5.96,5.96
Huddersfield Town,139.8,139.8,33.58,43.26,7.35,9.66,,
Hull City,100.35,115.96,53.14,48.74,11.45,11.45,,
Norwich City,109.58,114.95,79.94,81.48,27.73,27.73,,
Queens Park Rangers,135.8,130.42,45.44,49.94,,,,
Wigan Athletic,109.29,108.97,36.43,47.72,17.94,16.62,,
Bolton Wanderers,115.03,116.48,41.59,41.7,13.34,14.85,4.7,4.7
Charlton Athletic,105.8,106.81,35.25,36.8,16.13,17.74,,
Derby County,72.91,72.91,44.66,53.48,23.6,23.6,,
Ipswich Town,,,31.67,34.53,17.55,19.16,,
Portsmouth FC,138.11,153.7,34.88,34.88,12.13,12.31,7.67,7.38
Total,140.86,198.81,45.44,52.33,13.61,14.82,6.32,6.33
Inflation adjusted average squad value M€
Brentford FC,10.23,10.23,1.59,1.94,0.26,0.24,0.14,0.14
Brighton & Hove Albion,6.19,7.11,0.98,0.89,0.28,0.31,,
Leeds United,9.24,9.43,1.35,1.53,0.77,0.78,,
Leicester City,13.33,11.06,1.14,1.2,0.66,0.66,,
Nottingham Forest,9.24,9.24,1.58,1.5,0.39,0.43,,
Southampton FC,7.89,7.58,1.61,1.55,0.65,0.65,,
Wolverhampton Wanderers,8.38,7.81,1.68,1.65,0.82,0.82,,
Blackburn Rovers,3.5,3.41,1.4,1.54,0.45,0.45,,
Blackpool FC,1.48,1.48,0.82,0.76,0.17,0.21,0.16,0.16
Huddersfield Town,4.13,4.13,0.88,1.08,0.22,0.27,,
Hull City,2.71,3.14,1.34,1.33,0.29,0.29,,
Norwich City,3.42,3.14,2.11,2.15,0.66,0.66,,
Queens Park Rangers,3.31,3.16,1.12,1.21,,,,
Wigan Athletic,3.09,3.17,0.99,1.16,0.38,0.36,,
Bolton Wanderers,3.42,3.4,0.9,0.96,0.42,0.42,0.1,0.1
Charlton Athletic,3.44,3.26,0.82,0.87,0.39,0.42,,
Derby County,1.78,1.78,1.14,1.3,0.98,0.98,,
Ipswich Town,,,0.77,0.84,0.46,0.45,,
Portsmouth FC,4.13,4.31,1.07,1.07,0.28,0.31,0.18,0.18
Total,3.77,5.67,1.12,1.31,0.31,0.38,0.17,0.16
