Team, Covariance, Standard deviation X, Standard deviation Y, Pearson correlation coefficient, R^2 (coefficient of determination), Adjusted R^2, Mean squared error, Root mean squared error, Mean absolute error
Average attendance
Brentford FC,48294.86,18.93,3690.12,0.69128431,0.48,0.46,6813532.16,2610.27,1504.38
Brighton & Hove Albion,165980.65,19.94,11102.0,0.74985397,0.56,0.54,51702866.77,7190.47,5567.46
Leeds United,45155.72,13.48,8655.36,0.38699316,0.15,0.11,61041712.51,7812.92,4972.05
Leicester City,14784.03,12.73,6940.37,0.16734915,0.03,-0.01,44868939.29,6698.43,4344.51
Nottingham Forest,18155.58,8.73,5410.82,0.38438473,0.15,0.11,23911643.92,4889.95,2697.85
Southampton FC,30573.74,13.2,7503.21,0.30871512,0.1,0.06,48810469.47,6986.45,4703.48
Wolverhampton Wanderers,13291.15,10.0,6102.28,0.21771354,0.05,0.01,33994765.68,5830.5,3144.35
Blackburn Rovers,61328.0,12.06,6362.11,0.79909076,0.64,0.62,14020792.16,3744.43,2834.93
Blackpool FC,42784.13,15.81,3828.09,0.70689665,0.5,0.48,7026005.96,2650.66,2006.9
Huddersfield Town,43383.66,13.94,4871.86,0.63883992,0.41,0.38,13463023.17,3669.2,2368.52
Hull City,94812.18,21.68,6354.05,0.68812116,0.47,0.45,20370773.81,4513.4,3411.7
Norwich City,4128.34,8.84,5957.41,0.0783477,0.01,-0.03,33803156.05,5814.05,4016.34
Queens Park Rangers,9097.44,9.06,3425.38,0.29298694,0.09,0.05,10279105.69,3206.1,1682.02
Wigan Athletic,79535.19,15.99,5366.93,0.92661469,0.86,0.85,3902769.59,1975.54,1498.15
Bolton Wanderers,103446.41,19.11,6093.86,0.88811798,0.79,0.78,7517806.83,2741.86,2115.66
Charlton Athletic,87063.39,17.36,6333.19,0.79176555,0.63,0.61,14341540.6,3787.02,2700.74
Derby County,23655.47,8.99,6127.27,0.4295614,0.18,0.14,29340134.93,5416.65,3162.14
Ipswich Town,25061.93,11.59,5179.1,0.41750033,0.17,0.13,21224807.59,4607.04,3209.43
Portsmouth FC,43095.61,23.27,4166.29,0.44445006,0.2,0.16,13348788.23,3653.6,2309.08
Total,86409.34,16.96,8370.18,0.60874156,0.37,0.37,44001333.95,6633.35,5195.59
Average attendance / capacity %
Brentford FC,279.71,18.93,23.05,0.64085646,0.41,0.38,300.15,17.32,9.86
Brighton & Hove Albion,106.83,19.94,19.57,0.27379034,0.07,0.03,339.53,18.43,9.75
Leeds United,111.07,13.48,21.82,0.37765537,0.14,0.1,391.04,19.77,12.14
Leicester City,70.78,12.73,21.01,0.26472231,0.07,0.03,393.25,19.83,11.39
Nottingham Forest,54.78,8.73,17.89,0.35072075,0.12,0.08,269.04,16.4,9.2
Southampton FC,127.5,13.2,21.81,0.44295701,0.2,0.16,366.31,19.14,10.43
Wolverhampton Wanderers,39.81,10.0,20.26,0.19639778,0.04,-0.0,378.32,19.45,11.44
Blackburn Rovers,195.6,12.06,20.3,0.79889104,0.64,0.62,142.83,11.95,9.05
Blackpool FC,177.05,15.81,23.22,0.48222576,0.23,0.19,396.62,19.92,15.05
Huddersfield Town,177.08,13.94,19.89,0.6388525,0.41,0.38,224.28,14.98,9.67
Hull City,368.4,21.68,25.04,0.67836408,0.46,0.44,324.47,18.01,13.59
